timestamp,c,h,l,o
2020-11-14T23:00:00Z,16075.452733873577,16102.888756412627,16020.721074301044,16020.721074301044
2020-11-15T00:00:00Z,16054.904433140602,16072.577167139969,16037.560903920541,16063.671430719267
2020-11-15T01:00:00Z,15957.700831298827,16061.529642033662,15939.491268368698,16019.572971051313
2020-11-15T02:00:00Z,15977.675648419527,16003.608657066692,15936.988765610477,15973.212347686855
2020-11-15T03:00:00Z,15901.823930251268,15976.861398209177,15877.265572398761,15976.861398209177
2020-11-15T04:00:00Z,15925.725232166304,15943.63289341378,15888.34735138524,15920.738183474108
2020-11-15T05:00:00Z,16002.024252889152,16002.024252889152,15928.977397230867,15928.977397230867
2020-11-15T06:00:00Z,16054.80382294228,16058.803133552756,15994.865699903092,16011.268112062084
2020-11-15T07:00:00Z,16016.588341462688,16066.893320060868,16005.852118953286,16048.487723321296
2020-11-15T08:00:00Z,16113.37208835909,16119.264673045867,16021.848566702985,16021.848566702985
2020-11-15T09:00:00Z,16058.23366449448,16113.541968714295,16043.342966046112,16113.541968714295
2020-11-15T10:00:00Z,15985.672157168021,16079.67796545193,15979.623953844884,16061.168453587668
2020-11-15T11:00:00Z,15971.219530755709,16068.164758259563,15949.58487549535,15986.043397792939
2020-11-15T12:00:00Z,15987.067423133096,16040.332636811276,15950.22783960376,15950.22783960376
2020-11-15T13:00:00Z,16052.381471111577,16061.304424281167,15963.331765305009,15976.635201140403
2020-11-15T14:00:00Z,16048.340782753337,16077.41537359609,16033.268866348202,16047.361374836875
2020-11-15T15:00:00Z,16014.072339589773,16064.430270217948,16007.901188578871,16052.773292425207
2020-11-15T16:00:00Z,15977.958360238763,16047.1735887399,15971.4375646101,16028.585216473788
2020-11-15T17:00:00Z,15886.111011870331,15994.11053099438,15886.111011870331,15994.11053099438
2020-11-15T18:00:00Z,15907.47152665116,15926.450993407345,15863.333797605255,15878.80414974897
2020-11-15T19:00:00Z,15873.814246930302,15914.47612470018,15852.583014848176,15898.263827298455
2020-11-15T20:00:00Z,15850.144994287124,15874.98481829329,15819.252876710441,15858.001996670782
2020-11-15T21:00:00Z,15858.329492775987,15882.46114165312,15846.46125932224,15846.46125932224
2020-11-15T22:00:00Z,15914.239882394746,15914.239882394746,15793.533916785282,15845.898805137733
2020-11-15T23:00:00Z,15962.09895156044,15991.982020497457,15928.682196467955,15928.682196467955
2020-11-16T00:00:00Z,15956.653104088904,15956.653104088904,15887.108130604509,15953.998052949833
2020-11-16T01:00:00Z,15947.05955494851,16006.012296030412,15947.05955494851,15967.484178548275
2020-11-16T02:00:00Z,15936.787420667026,15992.33216123695,15936.787420667026,15949.71724601047
2020-11-16T03:00:00Z,16018.579391307701,16018.579391307701,15936.780817964129,15936.780817964129
2020-11-16T04:00:00Z,15988.735638312319,16021.239993924191,15988.735638312319,16007.417099587537
2020-11-16T05:00:00Z,16112.597851400247,16114.057081512317,16033.0140468586,16033.0140468586
2020-11-16T06:00:00Z,16213.582559084394,16215.70172096896,16104.571865227615,16104.571865227615
2020-11-16T07:00:00Z,16245.527033546541,16250.074252916971,16214.740152086728,16238.507632641013
2020-11-16T08:00:00Z,16220.857692190395,16252.753011850904,16216.869992894979,16238.547908962122
2020-11-16T09:00:00Z,16189.732601542322,16216.499801162061,16181.109469916211,16216.499801162061
2020-11-16T10:00:00Z,16308.221858218507,16316.351428385018,16219.127877609204,16219.625014258347
2020-11-16T11:00:00Z,16289.293273582849,16327.464250340101,16289.293273582849,16325.626543551725
2020-11-16T12:00:00Z,16283.688662435718,16289.389066296244,16243.383688710273,16243.383688710273
2020-11-16T13:00:00Z,16332.091478994413,16332.091478994413,16268.380010581572,16268.380010581572
2020-11-16T14:00:00Z,16349.639827534507,16404.63396947872,16320.939328930795,16320.939328930795
2020-11-16T15:00:00Z,16404.463154188365,16440.072959891175,16361.907862558031,16398.60965440893
2020-11-16T16:00:00Z,16582.744592048337,16594.641609210707,16438.500263155736,16438.500263155736
2020-11-16T17:00:00Z,16668.561460086796,16727.210239569016,16561.306187701397,16561.306187701397
2020-11-16T18:00:00Z,16667.382743431288,16717.808238909594,16639.196553757738,16674.563870711194
2020-11-16T19:00:00Z,16776.74891589262,16802.76879650181,16667.042282604103,16673.82739410752
2020-11-16T20:00:00Z,16767.913815084994,16791.632460356133,16751.883189455402,16766.601410503492
2020-11-16T21:00:00Z,16704.02757547093,16804.40914198469,16672.656932987487,16797.132300197467
